FIPS,State,County,obesity_rate,median_household_income,physical_inactivity_rate,population_over_65,uninsured_adults_pct,rural_pct,children_in_poverty_pct,pcp_rate,insured_coverage_pct,health_insurance_coverage,urban_rural,poverty_level,diabetes_rate
51640.0,Virginia,Galax City,41.1,46891.0,29.8,16.837874051,12.304075235,9.8511904762,28.9,,87.695924765,Low,Urban,High Poverty,14.0
51650.0,Virginia,Hampton City,42.2,67764.0,22.7,17.083400195,7.0700037866,0.3157173273,18.7,37.02467,92.9299962134,High,Urban,Medium Poverty,14.0
51660.0,Virginia,Harrisonburg City,40.4,58597.0,27.4,10.518382209,15.103152978,0.6214536612,17.0,134.16294,84.896847022,Low,Urban,Medium Poverty,14.0
51670.0,Virginia,Hopewell City,45.9,49111.0,31.6,15.805203938,8.8490284006,0.0347327747,32.5,30.25065,91.1509715994,Medium,Urban,High Poverty,16.0
51678.0,Virginia,Lexington City,35.1,62342.0,19.6,14.266737513,4.7020818378,0.0,10.9,,95.2979181622,High,Urban,Low Poverty,11.0
51680.0,Virginia,Lynchburg City,39.5,58962.0,22.9,14.506820896,8.324681018,1.616271564,22.5,126.56786,91.675318982,Medium,Urban,High Poverty,13.0
51683.0,Virginia,Manassas City,35.1,92198.0,23.7,11.181375304,16.439998501,0.0,18.9,96.00075,83.560001499,Low,Urban,Medium Poverty,12.0
51685.0,Virginia,Manassas Park City,37.4,92611.0,27.8,10.280545199,16.371053565,0.0,13.6,,83.628946435,Low,Urban,Medium Poverty,14.0
51690.0,Virginia,Martinsville City,44.5,44547.0,31.3,16.566155635,9.6244447436,0.0815721172,29.6,,90.3755552564,Medium,Urban,High Poverty,16.0
51700.0,Virginia,Newport News City,40.6,63911.0,23.6,14.526152536,8.367964083,0.3736972945,22.5,56.883750000000006,91.632035917,Medium,Urban,High Poverty,13.0
51710.0,Virginia,Norfolk City,40.0,61098.0,23.4,13.556055948,9.4734259287,0.0,25.2,99.1114,90.5265740713,Medium,Urban,High Poverty,14.0
51720.0,Virginia,Norton City,41.8,42618.0,28.2,18.184421535,7.0730572359,9.8996474098,29.7,81.83306,92.9269427641,High,Urban,High Poverty,13.0
51730.0,Virginia,Petersburg City,46.5,46216.0,29.2,16.980395689,8.9481620132,2.7078725566,31.5,65.81112,91.0518379868,Medium,Urban,High Poverty,17.0
